name,author_name,scale,bpm
Brown Eyed Girl,Bastille,G,151
Whyd You Only Call Me When Youre High,Van Morrison,D,92
Mockingbird,Arctic Monkeys,A#,148
Bella Ciao,Eminem,Dm,133
Wish You Were Gay,Misc Traditional,G,118
I Know The End,Billie Eilish,C#,112
Photograph,Phoebe Bridgers,F#,108
Strawberry Fields Forever,Ed Sheeran,A#,91
Snow Hey Oh,The Beatles,B,105
River,Poison,A#m,144
Demons,Joni Mitchell,C,82
Oh Darling,Imagine Dragons,A#m,124
Tiny Dancer,The Beatles,C,147
Savior Complex,Josh Groban,E,129
Night Moves,Phoebe Bridgers,B,171
Nobody Knows You When Youre Down And Out,Bob Seger & The Silver Bullet Band,F#m,93
Body Paint,Eric Clapton,A,97
This Is Home,Arctic Monkeys,G,130
Only Love Can Hurt Like This,cavetown,G#,91
Help,Paloma Faith,A,128
Johnny B Goode,The Beatles,A,152
Mamma Mia - Dancing Queen,Chuck Berry,C,78
Angel Baby,Misc Soundtrack,B,72
I Wanna Be Yours,Troye Sivan,D#m,78
All Star,Arctic Monkeys,F,165
Blank Space,Smash Mouth,B,104
Annies Song,Taylor Swift,D,146
Stand By Me,John Denver,A#,112
Baby Its Cold Outside,Oasis,G,127
The Greatest Showman - Rewrite The Stars,Misc Christmas,A#,126
Your Man,Misc Soundtrack,A,105
Shes Always A Woman,Zendaya,G#,74
The Little Mermaid - Part Of Your World,Josh Turner,F,62
The Sound Of Music - Edelweiss,Bob Dylan,G#,56
Ripple,Grateful Dead,G,127
Motion Sickness,Phoebe Bridgers,C#,107
All Yourn,Tyler Childers,B,78
Moon Song,Phoebe Bridgers,C#,155
Behind Blue Eyes,Limp Bizkit,G,120
The A Team,Ed Sheeran,A,85
Jealous Guy,John Lennon,Em,131
Harvest Moon,Neil Young,D,112
Cherry Wine,Hozier,C#,82
Aladdin - A Whole New World,Misc Cartoons,C,121
Turn The Page,Alan Menken,A,79
Teenage Dream,Bob Seger & The Silver Bullet Band,C#,159
How Great Is Our God,Stephen Dawes,C#,156
Married With Children,Chris Tomlin,A#,90
Dont Let Me Down,Oasis,G#,123
Old Man (ver 10),The Beatles,G,141
Im A Believer,Neil Young,C,80
Streets Of London,The Monkees,C,80
Times Like These,Ralph McTell,E,156
All Too Well 10 Minute Version,Foo Fighters,C,93
Shinunoga E-Wa,Taylor Swift,F#m,158
Question,Fujii Kaze,F#m,158
Valerie,Taylor Swift,Fm,97
Young And Beautiful,Amy Winehouse,Fm,96
Waves,Lana Del Rey,Bm,114
Society,Corinne Bailey Rae,Fm,143
Love In The Dark,Blink-182,C,114
Elastic Heart,Adele,A,130
In Christ Alone,Sia,F,136
Let It Snow,Keith Getty,C,124
Impossible,Dean Martin,Dm,128
Breezeblocks,James Arthur,F,162
Cant You See,alt-J,G#,113
Everlong,The Marshall Tucker Band,G,164
Slow Dancing In The Dark,Foo Fighters,D#,89
In Der Weihnachtsbäckerei,Joji,A,150
Exile,Rolf Zuckowski,F#,133
Shivers,Taylor Swift,D,132
Valentine,Ed Sheeran,Em,87
High And Dry,Laufey,G,93
Kiss Me,Radiohead,G#,113
Chasing Pavements,Sixpence None the Richer,Cm,74
Heart Shaped Box,Adele,G,160
The Unforgiven,Nirvana,G,140
Under The Bridge,Metallica,Em,129
Aint No Mountain High Enough,Red Hot Chili Peppers,A#,109
September,Marvin Gaye,Gm,136
If The World Was Ending,"Earth, Wind & Fire",C#,87
High School Musical - All I Want,Misc Television,Cm,78
Fall In Love,Olivia Rodrigo,A,136
Back To December,Bailey Zimmerman,D,142
Scarborough Fair,Taylor Swift,D,129
Galway Girl,Simon & Garfunkel,F#m,99
As The World Caves In,Ed Sheeran,E,108
Mary Janes Last Dance,Matt Maltese,Gm,170
Dreams,Tom Petty and The Heartbreakers,D,155
All I Need To Hear,The Cranberries,E,129
Stolen Dance,The 1975,B,114
Stolen Dance,Milky Chance,B,114
Treat You Better,Meghan Trainor,G#,108
The Lazy Song,John Legend,B,87
Time In A Bottle,Shawn Mendes,F,140
Coffee,Bruno Mars,B,175
Be My Mistake,Jim Croce,G,130
Boys Will Be Bugs,beabadoobee,C#,89
Happier Than Ever,The 1975,C,162
Before He Cheats,cavetown,F#m,148
Paradise,Billie Eilish,Em,145
Go Your Own Way,Carrie Underwood,F,135
Graves Into Gardens,Coldplay,B,140
Like My Father,Fleetwood Mac,F,93
Girl Crush,The Worship Initiative,C#,63
Little Things,Jax,F#,82
Santa Baby,Little Big Town,C,96
Wanted Dead Or Alive,One Direction,G,150
Sex On Fire,Eartha Kitt,Fm,84
Dont Worry Be Happy,Bon Jovi,B,69
Bellyache,Kings of Leon,G,160
Who You Say I Am,Bobby McFerrin,C#,54
Until I Found You,Billie Eilish,A#,101
Fall In Love Alone,Hillsong Worship,A,136
Hama Heenema,Stephen Sanchez,C,116
Locked Out Of Heaven,Stacey Ryan,F,144
We Are Young,Induja,Am,148
What Child Is This,Bruno Mars,D#,79
In My Life,Fun.,Em,119
Wholl Stop The Rain,The Beatles,G,123
Falling Slowly,Nickelback,A#,172
For What Its Worth,Creedence Clearwater Revival,C#,146
Somewhere Only We Know,Glen Hansard,G,86
Coco - Un Poco Loco,Markéta Irglová,G,126
Bones,Buffalo Springfield,D,99
Green Eyes,Keane,G,149
Umbrella,Imagine Dragons,D#,90
Mercy,Coldplay,F#m,140
Everything I Do I Do It For You,Bryan Adams,C#,131
Nothing New,Taylor Swift,C,102
Fine Line,Harry Styles,D,121
The Climb,Miley Cyrus,G,100
Somebody Else,The 1975,C,101
Despacito,Luis Fonsi,D,89
Polly,Daddy Yankee,E,95
Love Me Tender,Nirvana,Am,45
Like A Rolling Stone,Elvis Presley,C,95
Morning Has Broken,Bob Dylan,G,133
Moonage Daydream,Cat Stevens,Bm,144
Still Loving You,David Bowie,Gm,110
Crazy,Scorpions,Bm,123
Deck The Halls,Gnarls Barkley,C,89
Before You,Misc Christmas,B,140
Were Going To Be Friends,Benson Boone,D,105
Wings,Joy Again,C#,105
Freaks,Birdy,C#,101
Wherever You Will Go,Surf Curse,Bm,118
Apologize,The Calling,E,168
Big Iron,OneRepublic,C#m,116
