name,author_name,scale_x,bpm_x,scale_y,capo,chords,bpm_y,new_scale,new_bpm,Freq_map
Ocean Eyes,Elvis Presley,Em,145,Em,no capo,"['C', 'Dsus2', 'Em', 'G', 'G/B']",72 bpm,Em,72 bpm,"{'F': 52, 'Gsus2': 33, 'Am': 33, 'C': 19, 'C/E': 19}"
Skinny Love,Oasis,G,125,Am,no capo,"['Am', 'C', 'D6sus2', 'Fmaj7/C', 'C/B', 'F', 'G']",150 bpm,G,150 bpm,"{'Dm': 20, 'F': 27, 'G6sus2': 5, 'A#maj7/F': 2, 'F/E': 8, 'A#': 10, 'C': 2}"
The Man Who Sold The World,Nirvana,C#m,115,A,no capo,"['A', 'Dm', 'F', 'C', 'C#']",115 bpm,C#m,115 bpm,"{'F': 9, 'A#m': 4, 'C#': 11, 'G#': 8, 'A': 6}"
Mad World,Gary Jules,D#,174,Fm,1st fret,"['Em', 'A', 'G', 'D']",87 bpm,D#,87 bpm,"{'Dm': 24, 'G': 24, 'F': 8, 'C': 8}"
Sweet Caroline,Neil Diamond,B,63,A,2nd fret,"['E', 'A', 'D', 'A6', 'C#', 'F#', 'C#m', 'Bm']",127 bpm,B,127 bpm,"{'G': 23, 'C': 17, 'F': 29, 'C6': 2, 'E': 7, 'A': 7, 'Em': 2, 'Dm': 2}"
Sign Of The Times,Harry Styles,F,120,F,no capo,"['F', 'Dm', 'C', 'C7', 'A#', 'Am', 'G', 'G7']",62 bpm,F,62 bpm,"{'C': 23, 'Am': 21, 'G': 22, 'G7': 10, 'F': 5, 'Em': 1, 'D': 1, 'D7': 1}"
Mistletoe,Justin Bieber,A,81,G,2nd fret,"['G', 'D', 'Em', 'C']",81 bpm,A,81 bpm,"{'C': 15, 'G': 15, 'Am': 15, 'F': 15}"
Clocks,Coldplay,Fm,131,Fm,1st fret,"['D', 'Am', 'Em', 'Em/G', 'Fmaj7', 'C', 'G']",131 bpm,Fm,131 bpm,"{'G': 28, 'Dm': 44, 'Am': 23, 'Am/C': 5, 'A#maj7': 4, 'F': 3, 'C': 3}"
How To Save A Life,Randy Newman,A#,122,G,3rd fret,"['G', 'D/F#', 'Bm', 'Em', 'D', 'C']",122 bpm,A#,122 bpm,"{'C': 39, 'G/B': 42, 'Em': 2, 'Am': 26, 'G': 31, 'F': 12}"
Sultans Of Swing,David Bowie,Dm,154,Dm,no capo,"['Dm', 'Dm/C', 'C', 'A#', 'A', 'F', 'A7']",150 bpm,Dm,150 bpm,"{'Am': 43, 'Am/G': 2, 'G': 58, 'F': 45, 'E': 16, 'C': 8, 'E7': 1}"
Drops Of Jupiter,Dire Straits,C,79,C,no capo,"['C', 'G', 'F', 'D', 'Dm', 'A#']",80 bpm,C,80 bpm,"{'C': 18, 'G': 21, 'F': 24, 'D': 7, 'Dm': 3, 'A#': 2}"
The Boxer,Adele,B,93,B,no capo,"['C', 'C/B', 'Am', 'G', 'G7', 'G6', 'F', 'Em']",93 bpm,B,93 bpm,"{'C#': 40, 'C#/C': 15, 'A#m': 43, 'G#': 31, 'G#7': 13, 'G#6': 6, 'F#': 13, 'Fm': 11}"
Summertime Sadness,Simon & Garfunkel,C#m,112,F,4th fret,"['F', 'Am', 'G', 'Dm']",112 bpm,C#m,112 bpm,"{'F': 29, 'Am': 28, 'G': 30, 'Dm': 26}"
With Or Without You,The Beatles,D,107,D,no capo,"['D', 'A', 'Bm', 'G']",110 bpm,D,110 bpm,"{'C': 31, 'G': 28, 'Am': 28, 'F': 28}"
Circles,Morgan Wallen,C,102,C,no capo,"['Cmaj7', 'Fmaj7', 'Fm', 'C', 'F', 'C/B', 'Cmaj7/B']",120 bpm,C,120 bpm,"{'Cmaj7': 21, 'Fmaj7': 13, 'Fm': 18, 'C': 8, 'F': 13, 'C/B': 3, 'Cmaj7/B': 1}"
Beggin,Post Malone,Dm,160,Bm,no capo,"['Bm', 'G', 'C#m7', 'F#7']",134 bpm,Dm,134 bpm,"{'F#m': 29, 'D': 25, 'G#m7': 25, 'C#7': 25}"
Otherside,Måneskin,Gm,124,Am,no capo,"['Am', 'F', 'C', 'G', 'Em', 'A']",122 bpm,Gm,122 bpm,"{'Bm': 29, 'G': 16, 'D': 20, 'A': 24, 'F#m': 16, 'B': 8}"
Hit The Road Jack,Queen,G#m,173,Am,no capo,"['Am', 'G', 'F', 'E7']",173 bpm,G#m,173 bpm,"{'A#m': 42, 'G#': 42, 'F#': 42, 'F7': 42}"
Funeral,Matt Redman,G,145,B,4th fret,"['G', 'C', 'Em', 'D']",172 bpm,G,172 bpm,"{'E': 43, 'A': 35, 'C#m': 17, 'B': 25}"
Count On Me,Phoebe Bridgers,G#,116,C,no capo,"['C', 'Em', 'Am', 'G', 'F', 'Dm']",178 bpm,G#,178 bpm,"{'E': 15, 'G#m': 17, 'C#m': 14, 'B': 19, 'A': 16, 'F#m': 4}"
Mastermind,Bo Burnham,G#m,96,E,4th fret,"['C', 'F', 'Am', 'G', 'C/B', 'Em']",126 bpm,G#m,126 bpm,"{'F': 21, 'A#': 23, 'Dm': 9, 'C': 10, 'F/E': 3, 'Am': 1}"
Castle On The Hill,Taylor Swift,Am,135,D,no capo,"['D', 'G', 'Bm', 'D/F#', 'A', 'A7sus4', 'Bm7#5']",145 bpm,Am,145 bpm,"{'D': 42, 'G': 45, 'Bm': 34, 'D/F#': 28, 'A': 17, 'A7sus4': 24, 'Bm75': 1}"
